Source:,National Notifiable Diseases Surveillance System,,,,,,,,,,,,,,,,,,
,http://www9.health.gov.au/cda/source/rpt_4_sel.cfm,,,,,,,,,,,,,,,,,,
Male,,,,,,,,,,,,,,,,,,,
Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,28,29,36,36,67,47,32,19,14,26,13,13,13,11,4,12,5,6,13
5,12,12,7,7,10,6,7,4,3,4,3,6,5,5,6,7,5,1,4
10,18,20,16,24,26,21,16,8,4,3,4,19,12,6,10,9,7,7,4
15,185,248,324,465,646,604,486,326,260,190,176,142,114,127,140,118,113,141,186
20,900,1013,1076,1449,1823,1869,1624,1185,1011,879,819,713,625,599,562,610,530,628,678
25,1610,1704,1515,1759,2102,2074,1853,1371,1299,1136,1165,1132,1099,948,908,927,827,834,842
30,2228,2161,1773,1885,2044,1942,1747,1546,1347,1230,1170,1135,1168,1008,1094,1020,978,950,985
35,2317,2296,1944,2020,2089,1920,1725,1491,1238,1174,1168,1023,1110,1030,1057,1038,927,866,895
40,1252,1527,1469,1757,1793,1873,1718,1539,1320,1162,1068,1092,1071,961,1013,934,890,850,880
45,415,511,641,845,962,1035,1195,1087,1080,1067,977,1119,1067,942,969,921,831,728,829
50,169,202,204,297,315,393,468,460,508,573,570,672,765,798,898,880,756,675,716
55,145,149,138,143,156,160,173,152,187,176,204,269,280,361,414,472,477,520,580
60,129,137,123,93,91,104,113,92,73,67,69,96,113,117,128,151,185,215,265
65,158,156,125,117,94,80,108,69,53,50,50,57,56,54,43,63,42,59,89
70,141,133,128,116,95,75,85,72,40,64,43,46,48,32,31,36,42,43,30
75,57,74,79,88,77,82,73,53,52,31,30,38,38,33,23,24,20,20,25
80,19,21,36,21,46,32,42,23,29,26,17,24,22,19,23,20,16,21,16
85,57,34,53,35,26,28,13,21,20,16,5,13,20,15,11,14,21,6,8
,,,,,,,,,,,,,,,,,,,
Female,,,,,,,,,,,,,,,,,,,
Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,29,34,40,32,41,36,9,24,13,14,6,9,11,10,13,11,6,9,8
5,5,12,8,7,8,4,2,6,3,6,7,3,5,3,7,7,2,5,2
10,4,16,11,16,17,14,17,11,8,7,11,12,10,6,13,4,8,5,6
15,232,264,363,506,595,568,566,431,314,259,208,200,170,170,151,139,134,112,135
20,623,659,640,815,928,1064,1069,902,741,619,603,533,471,464,464,420,366,327,362
25,1037,1010,843,1093,1128,1048,1097,848,750,782,715,670,694,627,644,628,499,485,413
30,1270,1190,996,1097,1100,1055,999,867,810,710,679,644,680,585,579,673,518,533,610
35,1178,1112,1020,1146,1051,1012,994,824,730,667,601,636,617,548,517,561,461,446,458
40,576,631,640,837,844,796,811,776,638,639,589,570,555,442,468,469,409,418,389
45,179,214,248,331,388,431,479,488,495,500,510,488,530,498,474,463,395,355,362
50,119,142,111,139,180,187,199,206,209,251,237,287,360,346,374,416,376,363,368
55,103,127,112,104,91,111,85,84,90,99,113,127,141,174,198,213,211,235,286
60,104,111,107,93,88,101,84,64,63,71,71,67,59,63,85,80,99,97,117
65,107,106,124,98,79,84,71,63,52,55,61,63,55,44,48,44,47,61,65
70,91,88,90,90,79,77,98,63,55,55,51,50,46,42,49,25,26,42,28
75,43,71,73,52,88,47,60,50,35,40,28,52,39,38,40,35,35,27,15
80,26,24,31,32,27,39,40,31,22,17,21,25,16,25,24,27,11,18,26
85,12,21,33,27,19,26,13,16,11,14,6,11,18,14,14,14,16,14,22
