Year,Pop,Births,Migration,Deaths,,
1972,13303700,271960,75672,110191,,"3101.0 - Australian Demographic Statistics, Jun 2014"
1973,13504500,255848,56562,111336,,Australian Demographic Statistics Quarterly Dec 1982
1974,13722600,243658,82926,110179,,
1975,13893000,239794,44675,114501,,
1976,14033110,231135,21239,110610,,
1977,14192200,226954,57897,111490,,
1978,14359300,226359,62715,108059,,
1979,14515700,223370,55137,108315,,
1980,14695400,223664,75941,106654,,
1981,14923300,230920,119175,109429,,
1982,15184200,237100,128100,111000,,
1983,15393500,241800,73300,113000,,
1984,15579400,240500,49100,110900,,
1985,15788300,241900,73800,114200,,
1986,16018400,239100,100500,116100,,
1987,16263900,242900,125800,116100,,
1988,16532200,246200,149400,120500,,
1989,16814400,250300,157500,118800,,
1990,17065100,257500,124700,125100,,
1991,17284000,261100,86500,119600,,
1992,17478600,259600,68600,120800,,
1993,17634800,260500,30100,121400,,
1994,17805500,258900,46600,123500,,
1995,18004900,258600,80200,126200,,
1996,18224800,250800,104000,126400,,
1997,18423000,254300,87200,127400,,
1998,18607600,249800,79100,129200,,
1999,18812300,250700,96500,128200,,
2000,19028800,250500,107200,128300,,
2001,19274700,249300,135700,129000,,
2002,19495200,249400,110600,130200,,
2003,19720700,249200,116500,132200,,
2004,19932700,252000,100000,133200,,
2005,20176800,258300,123800,131400,,
2006,20451000,266100,146700,134000,,
2007,20827600,287300,232700,136000,,
2008,21249200,295200,277400,140700,,
2009,21691700,300100,299800,143700,,
2010,22031800,304000,196100,141500,,
2011,22340000,301100,180400,145500,,
2012,22728300,306000,229500,147300,,
2013,23125900,311100,235700,149100,,
2014,23490700,300900,212700,148600,,
